PDB_Chain,PDB_ID,Chain_ID,UniProt_ID
2g2dA,2g2d,A,P9WP99
1usqA,1usq,A,P24093
2b5nA,2b5n,A,Q16531
1uayA,1uay,A,Q7SIA1
2fxaA,2fxa,A,P11065
1r8qA,1r8q,A,P84080
1a0nB,1a0n,B,P06241
9gaaA,9gaa,A,Q47898
2clpA,2clp,A,O95154
1eerA,1eer,A,P01588
2hv8A,2hv8,A,P62491
1ky2A,1ky2,A,P32939
2erfA,2erf,A,P07996
1f9hA,1f9h,A,P26281
2f1rA,2f1r,A,O28031
1o50A,1o50,A,Q9X033
2h0bA,2h0b,A,Q28146
1m12A,1m12,A,P07602
2bp1A,2bp1,A,O43488
1wxbA,1wxb,A,Q9H6S3
2dttA,2dtt,A,O58368
2bl0B,2bl0,B,P08053
1xbyA,1xby,A,P39304
1a5cA,1a5c,A,P14223
2iy4A,2iy4,A,Q8Y8G1
1dosA,1dos,A,P0AB71
2hwxA,2hwx,A,Q86US8
1y5vA,1y5v,A,P28720
1wlcA,1wlc,A,Q9YIC2
1lyxA,1lyx,A,Q07412
2amuA,2amu,A,Q9WZC6
1s2bA,1s2b,A,P15369
1kp9A,1kp9,A,P9WPB7
1g0uE,1g0u,E,P40302
1z9wA,1z9w,A,P9WNC5
1yx1A,1yx1,A,Q9I1L3
1xc4A,1xc4,A,P0A877
2b0cA,2b0c,A,P0A8Y3
1tmhA,1tmh,A,P0A858
1tmhA,1tmh,A,P00940
2aglA,2agl,A,P84888
1w8sA,1w8s,A,P58315
1u8yA,1u8y,A,P63320
2cz4A,2cz4,A,Q5SKX7
1ktmA,1ktm,A,Q00944
1nqjA,1nqj,A,Q9X721
1bjqA,1bjq,A,P05045
2chbD,2chb,D,P01556
1a4gA,1a4g,A,P27907
1b8rA,1b8r,A,P02618
1vcvA,1vcv,A,Q8ZXK7
1shfA,1shf,A,P06241
1nonA,1non,A,P41007
1vizA,1viz,A,O34790
2dmoA,2dmo,A,P19878
2f0aA,2f0a,A,P51142
1m8gA,1m8g,A,O26253
2fmdA,2fmd,A,P42088
1macA,1mac,A,P23904
1wo8A,1wo8,A,Q5SHD6
1w6qA,1w6q,A,P09382
121pA,121p,A,P01112
1mm9A,1mm9,A,P22629
2g3yA,2g3y,A,P55040
1w15A,1w15,A,P50232
1ammA,1amm,A,P02526
1fjxA,1fjx,A,P05102
1spvA,1spv,A,P0A8D6
1doaA,1doa,A,P60953
1bc6A,1bc6,A,Q45560
1epxA,1epx,A,Q9U5N6
1o9gA,1o9g,A,Q9F5K5
1m6jA,1m6j,A,O02611
2o2zA,2o2z,A,Q9K706
1flaA,1fla,A,P00322
1vr7A,1vr7,A,Q9WZC3
2bh8A,2bh8,A,P0AG67
1gkyA,1gky,A,P15454
1ad1A,1ad1,A,O05701
1sv0C,1sv0,C,Q7K119
1nc5A,1nc5,A,O34559
1gmxA,1gmx,A,P0A6V5
1yp5A,1yp5,A,Q04439
1hzyA,1hzy,A,P0A434
1rtzA,1rtz,A,P26281
1bqpA,1bqp,A,P02867
2b6hA,2b6h,A,P84085
2azcA,2azc,A,P03367
1b71A,1b71,A,P24931
1xwwA,1xww,A,P24666
1hefE,1hef,E,P03366
2iasA,2ias,A,Q7SIG4
1urrA,1urr,A,Q9VF36
1z54A,1z54,A,Q5SJV0
2in3A,2in3,A,Q82S11
4icbA,4icb,A,P02633
2atvA,2atv,A,Q96A58
2hvyB,2hvy,B,Q8U029
1r9xA,1r9x,A,P25524
1kppA,1kpp,A,Q99816
1dl3A,1dl3,A,Q56320
2ghwB,2ghw,B,Q65ZC9
1ptsA,1pts,A,P22629
1adoA,1ado,A,P00883
1j2tA,1j2t,A,P83772
1dzbA,1dzb,A,
1to0A,1to0,A,Q45601
1brlA,1brl,A,P07740
1hzvA,1hzv,A,P24474
2j3tC,2j3t,C,Q5NCF2
2hcmA,2hcm,A,Q8BTR5
1ujpA,1ujp,A,P16608
9gacA,9gac,A,Q47898
1w90A,1w90,A,Q9C171
1uptA,1upt,A,P40616
2cf7A,2cf7,A,P0CB53
2gzdA,2gzd,A,P62491
1tl2A,1tl2,A,Q27084
2nyiA,2nyi,A,J3QW32
1nzjA,1nzj,A,P27305
1i6wA,1i6w,A,P37957
1rccA,1rcc,A,P07797
1yn9A,1yn9,A,P24656
1ru0A,1ru0,A,Q9CZL5
1tjnA,1tjn,A,O29537
1w8tA,1w8t,A,Q9C171
2fneA,2fne,A,O75970
1ds6A,1ds6,A,P15153
1zwyA,1zwy,A,Q9KU27
1mzhA,1mzh,A,O66540
2aepA,2aep,A,Q9DL16
1f4pA,1f4p,A,P00323
1u0aA,1u0a,A,P23904
1j7jA,1j7j,A,O33799
1ynzA,1ynz,A,Q06449
1u7oA,1u7o,A,Q9D967
1vlzA,1vlz,A,P0AE67
1umzA,1umz,A,Q8GZD5
1npkA,1npk,A,P22887
1kv9A,1kv9,A,Q8GR64
1hqqA,1hqq,A,P22629
1mffA,1mff,A,P34884
1k76A,1k76,A,P29355
1spwA,1spw,A,P00270
1xk8A,1xk8,A,O60888
1q45A,1q45,A,Q9FUP0
2hwwA,2hww,A,Q86US8
1kcyA,1kcy,A,P02633
1bgdA,1bgd,A,P35834
1u14A,1u14,A,P39432
1g55A,1g55,A,O14717
1jg1A,1jg1,A,Q8TZR3
1wvtA,1wvt,A,Q96YJ2
1zbdA,1zbd,A,P63012
2ak7A,2ak7,A,O06976
1ukuA,1uku,A,O58720
2d0oB,2d0o,B,O68196
4hckA,4hck,A,P08631
1h6yA,1h6y,A,P51584
1ydnA,1ydn,A,Q8YEF2
1dykA,1dyk,A,Q60675
2a78A,2a78,A,P11233
1ddnA,1ddn,A,P0DJL7
1vhnA,1vhn,A,Q9WXV1
1i3qK,1i3q,K,P38902
1km2A,1km2,A,O26232
1eutA,1eut,A,Q02834
1nloC,1nlo,C,P00523
1ulrA,1ulr,A,Q5SKS6
1lkiA,1lki,A,P09056
1a0oA,1a0o,A,P0AE67
1nfhA,1nfh,A,O28323
1vs1A,1vs1,A,Q9YEJ7
1m3uA,1m3u,A,P31057
1qq5A,1qq5,A,Q60099
2d58A,2d58,A,P55008
2h00A,2h00,A,Q86W50
1t5iA,1t5i,A,Q13838
1xq1A,1xq1,A,P0DKI3
2gdnA,2gdn,A,P9WKD3
1rv8A,1rv8,A,Q9RHA2
1zcoA,1zco,A,Q8U0A9
2hk0A,2hk0,A,A9CH28
1alqA,1alq,A,P00807
1lcvA,1lcv,A,P22629
2b1uA,2b1u,A,Q9NZT1
1oy0A,1oy0,A,P9WIL7
1oyaA,1oya,A,Q02899
1pz8A,1pz8,A,P31696
2iauA,2iau,A,Q7SIG4
1qgc4,1qgc,4,P01837
1pc4A,1pc4,A,P00214
2issD,2iss,D,Q9WYU3
1of9A,1of9,A,P34095
1fo0B,1fo0,B,P04214
1zixA,1zix,A,P0A114
1wzzA,1wzz,A,P37696
1w8zA,1w8z,A,Q9C171
1strB,1str,B,P22629
2gm3A,2gm3,A,Q8LGG8
1wy1A,1wy1,A,O58404
1oryA,1ory,A,O67806
1gq4A,1gq4,A,P07550
1swsA,1sws,A,P22629
1rcuA,1rcu,A,Q9X0E5
1x90A,1x90,A,Q9LNF2
1tv5A,1tv5,A,Q08210
1lknA,1lkn,A,Q9X0J6
2batA,2bat,A,P06820
1v93A,1v93,A,Q9RA47
1vhrA,1vhr,A,P51452
1qkkA,1qkk,A,P13632
1qwkA,1qwk,A,P91020
1gvfA,1gvf,A,P0AB74
2f6uA,2f6u,A,O29844
1kfcA,1kfc,A,P00929
1jgmA,1jgm,A,P0A434
2a8lA,2a8l,A,Q9H6P5
2gxqA,2gxq,A,O07897
1kgyA,1kgy,A,P54763
1n7kA,1n7k,A,Q9Y948
2f2xA,2f2x,A,P07751
1k9uA,1k9u,A,O82040
1hzoA,1hzo,A,P52664
1g0uD,1g0u,D,P32379
1yuzA,1yuz,A,P30820
1zzmA,1zzm,A,P39408
1bh4A,1bh4,A,P56871
1wuvA,1wuv,A,P14894
1v74B,1v74,B,P11899
1tucA,1tuc,A,P07751
1vc4A,1vc4,A,P84126
1iu9A,1iu9,A,O58403
2hhgA,2hhg,A,Q6N3S9
2nzjA,2nzj,A,O75628
1aeyA,1aey,A,P07751
1hybA,1hyb,A,O26253
1sn0A,1sn0,A,Q9PTT3
1nlxA,1nlx,A,P43215
2ixqB,2ixq,B,Q57254
2h9aA,2h9a,A,Q3ACS3
1kdkA,1kdk,A,P04278
1bcfA,1bcf,A,P0ABD3
2g0nA,2g0n,A,P60763
1fx5A,1fx5,A,P22972
2mtaH,2mta,H,P29894
1r3sA,1r3s,A,P06132
1uadA,1uad,A,P11233
2d2rA,2d2r,A,P55984
1cgqA,1cgq,A,P14174
1m3aA,1m3a,A,Q64010
1z0aA,1z0a,A,P61019
1o66A,1o66,A,Q9JZW6
1tx4B,1tx4,B,P61586
1lk0A,1lk0,A,P0A006
1uhfA,1uhf,A,Q9NZM3
1r2kB,1r2k,B,P0AEZ9
1ny1A,1ny1,A,O34928
2he4A,2he4,A,Q15599
2a0nA,2a0n,A,Q9X0C6
1a53A,1a53,A,Q06121
1veuB,1veu,B,Q9JHS3
1g0uM,1g0u,M,P30657
1cbkA,1cbk,A,P43777
2fg5A,2fg5,A,Q13636
1l6wA,1l6w,A,P78055
1f2jA,1f2j,A,P07752
2exsC,2exs,C,Q9X6J6
2d90A,2d90,A,Q9JIL4
1w37A,1w37,A,O54288
1wznA,1wzn,A,O59000
1ajkA,1ajk,A,P23904
1h8kA,1h8k,A,P07751
1gzjA,1gzj,A,Q8TG26
1yz4A,1yz4,A,Q9H1R2
1rlkA,1rlk,A,Q9HLW6
2gj0A,2gj0,A,P85177
1swhA,1swh,A,P22629
1t91A,1t91,A,P51149
2digA,2dig,A,Q14739
2htvA,2htv,A,Q6XV46
1m62A,1m62,A,O95429
1arkA,1ark,A,P20929
1ggwA,1ggw,A,Q09196
2b25A,2b25,A,Q9BVS5
1r74A,1r74,A,Q14749
1sflA,1sfl,A,Q6GII7
1elpA,1elp,A,P08209
1r1fA,1r1f,A,P84645
1r3vA,1r3v,A,P06132
2erjD,2erj,D,P60568
1ju5C,1ju5,C,P00519
1fstA,1fst,A,P52565
2amxA,2amx,A,Q7RMV2
1wd5A,1wd5,A,Q5SIB2
2hbvA,2hbv,A,Q83V25
2gedA,2ged,A,P36057
1rcdA,1rcd,A,P07797
1c4rA,1c4r,A,Q63373
2dw6A,2dw6,A,Q89FH0
1ry9A,1ry9,A,P35530
2b9eA,2b9e,A,Q96P11
2jb9A,2jb9,A,P0AFJ5
1c4wA,1c4w,A,P0AE67
1k4uS,1k4u,S,P19878
1itfA,1itf,A,P01563
1e1aA,1e1a,A,Q7SIG4
1vr6A,1vr6,A,Q9WYH8
2awcA,2awc,A,Q9REU3
1x50A,1x50,A,P56470
1v7yA,1v7y,A,P0A877
1nvvQ,1nvv,Q,P01112
1c9oA,1c9o,A,P41016
1e6mA,1e6m,A,P0AE67
1pscA,1psc,A,P0A434
1gszA,1gsz,A,P33247
1ndvA,1ndv,A,P56658
1kqvA,1kqv,A,P02633
1bedA,1bed,A,P32557
1rtp1,1rtp,1,P02625
2inpC,2inp,C,Q84AQ4
1pzmA,1pzm,A,Q9NJI5
1cs4A,1cs4,A,P30803
1bynA,1byn,A,P21707
1tu3A,1tu3,A,P20339
2bc3A,2bc3,A,P22629
1el3A,1el3,A,P15121
1rwiB,1rwi,B,P9WI79
1zmrA,1zmr,A,P0A799
1rj9B,1rj9,B,O07347
2citA,2cit,A,P16218
1vrdA,1vrd,A,Q9X168
1eg2A,1eg2,A,P14751
1y13A,1y13,A,C6KTB6
1g4uR,1g4u,R,P63000
2cd7A,2cd7,A,P0A006
2a1iA,2a1i,A,P07992
2b3rA,2b3r,A,Q61194
1n4kA,1n4k,A,P11881
1iqzA,1iqz,A,P10245
1gzwA,1gzw,A,P09382
1cnt1,1cnt,1,P26441
1f8hA,1f8h,A,P42566
2d8kA,2d8k,A,O43581
1jbjA,1jbj,A,P22646
1jbjA,1jbj,A,P11942
1qhfA,1qhf,A,P00950
1zldA,1zld,A,P78737
1cpmA,1cpm,A,P23904
1mg2A,1mg2,A,P29894
1rgvA,1rgv,A,O88151
1nksA,1nks,A,P35028
1wjgA,1wjg,A,Q5SJV7
2iwoA,2iwo,A,O75970
1r0uA,1r0u,A,O07624
1bbzE,1bbz,E,P00519
1t1jA,1t1j,A,Q9I3M0
1zgzA,1zgz,A,P38684
1tnrA,1tnr,A,P01374
1o4zA,1o4z,A,Q9RGX8
1ymuA,1ymu,A,P0AE67
2b8hA,2b8h,A,P05803
1pyfA,1pyf,A,P46336
1fw8A,1fw8,A,P00560
1x1oA,1x1o,A,Q5SJM3
2itbA,2itb,A,Q88KV1
1gslA,1gsl,A,P24146
1rinA,1rin,A,P02867
2awwA,2aww,A,Q62696
1iaqA,1iaq,A,P01112
1th8B,1th8,B,O32726
2bygA,2byg,A,Q15700
521pA,521p,A,P01112
1wyxA,1wyx,A,P56945
1ozmA,1ozm,A,P28720
2ntnA,2ntn,A,P9WGT3
1wpnA,1wpn,A,P37487
1sw3A,1sw3,A,P00940
1xdlA,1xdl,A,P05062
1bqxA,1bqx,A,Q45560
2ns1B,2ns1,B,P0AC55
2gb4A,2gb4,A,O55060
2dirA,2dir,A,Q9NXG2
1drjA,1drj,A,P02925
1ekeA,1eke,A,Q57599
1ea8A,1ea8,A,P02649
2cjtA,2cjt,A,Q62768
1o6dA,1o6d,A,Q9WZU8
1azgB,1azg,B,P06241
1e6gA,1e6g,A,P07751
2g8sA,2g8s,A,P75804
1lrwA,1lrw,A,P12293
1fg6C,1fg6,C,P04587
1uumA,1uum,A,Q63707
1wi7A,1wi7,A,Q8R550
1x2kA,1x2k,A,Q92882
1nf4A,1nf4,A,Q93PP9
1ab0A,1ab0,A,P04117
1im8A,1im8,A,P43985
1blpA,1blp,A,P00807
1cspA,1csp,A,P32081
1te1B,1te1,B,Q9HFH0
2c91A,2c91,A,Q8CG76
1jmxB,1jmx,B,Q8VW82
1is7K,1is7,K,P70552
2a5dA,2a5d,A,P62330
1yzhA,1yzh,A,P67506
1snlA,1snl,A,Q02818
1ncdN,1ncd,N,P05803
1g4pA,1g4p,A,P39594
1slaA,1sla,A,P11116
1p6bA,1p6b,A,P0A433
2frsA,2frs,A,P29373
2fe5A,2fe5,A,Q92796
1fwnA,1fwn,A,O66496
1y5mA,1y5m,A,P50172
1hdkA,1hdk,A,Q05315
1lhnA,1lhn,A,P04278
1wg8A,1wg8,A,Q5SJD8
2a10A,2a10,A,P73407
2ia9A,2ia9,A,P28015
2garA,2gar,A,P08179
2sasA,2sas,A,P04570
2d80A,2d80,A,B2NHN2
1kmqA,1kmq,A,P61586
2awuA,2awu,A,Q62696
1wozA,1woz,A,Q970Z7
1d3bA,1d3b,A,P62318
1frlA,1frl,A,P00214
1ehwA,1ehw,A,O00746
1gcqA,1gcq,A,P62993
1w8rA,1w8r,A,
1l5yA,1l5y,A,P13632
1b9xA,1b9x,A,P62871
1un2A,1un2,A,P0AEG4
4sgbI,4sgb,I,P01080
1lpeA,1lpe,A,P02649
2il5A,2il5,A,A0A0H2XIZ7
1g8wA,1g8w,A,P05087
1rzxA,1rzx,A,O97111
1wmsA,1wms,A,P51151
1semA,1sem,A,P29355
1ha4A,1ha4,A,P22914
1xtpA,1xtp,A,Q4Q7M2
1h4gA,1h4g,A,Q7SIE3
1ivnA,1ivn,A,P0ADA1
2ccvA,2ccv,A,Q2F1K8
1cqgA,1cqg,A,P10599
1b64A,1b64,A,P24534
1r4aA,1r4a,A,P61212
1b93A,1b93,A,P0A731
1vj6A,1vj6,A,Q64512
1thfD,1thf,D,Q9X0C6
1rxhA,1rxh,A,P22629
1tmyA,1tmy,A,Q56312
1gzgA,1gzg,A,Q59643
1m8fA,1m8f,A,O26253
1xx1A,1xx1,A,Q8I914
1jsxA,1jsx,A,P0A6U5
1puiA,1pui,A,P0A6P7
2cwnA,2cwn,A,Q93092
1kkoA,1kko,A,O66145
1e0vA,1e0v,A,P26514
1rytA,1ryt,A,P24931
2gnqA,2gnq,A,P61964
1o4tA,1o4t,A,Q9X113
2h17A,2h17,A,Q9Y689
1kffA,1kff,A,P22629
2ielA,2iel,A,Q72LM7
31biA,31bi,A,P01584
2izbA,2izb,A,P22629
1pexA,1pex,A,P45452
1kl4A,1kl4,A,P22629
2f2vA,2f2v,A,P07751
2bwqA,2bwq,A,Q9JIS1
2fhgH,2fhg,H,P9WHT9
1r9lA,1r9l,A,P0AFM2
2hv2A,2hv2,A,Q836T6
1zx0A,1zx0,A,
1cqmA,1cqm,A,Q5SLP8
1ckaA,1cka,A,Q64010
1gveA,1gve,A,P38918
1fukA,1fuk,A,P10081
1dy7A,1dy7,A,P72181
1axqA,1axq,A,P00214
1ylwA,1ylw,A,Q939N4
1yzuA,1yzu,A,Q9UL25
2hpvA,2hpv,A,Q831B2
1yzgA,1yzg,A,Q96KC2
2bvdA,2bvd,A,P16218
1ar0A,1ar0,A,P61972
1zp3A,1zp3,A,P0AEZ1
1r3qA,1r3q,A,P06132
2cipA,2cip,A,P16218
1djbA,1djb,A,P00807
2gjjA,2gjj,A,
1b1cA,1b1c,A,P16435
2fqpA,2fqp,A,Q7VWF8
1ztgA,1ztg,A,Q15365
2j6fA,2j6f,A,Q9Y5K6
2clbA,2clb,A,P95855
1azeA,1aze,A,P62993
1emdA,1emd,A,P61889
1n47A,1n47,A,P56625
1o9yA,1o9y,A,O85094
2asrA,2asr,A,P07017
1f51E,1f51,E,P06628
1byhA,1byh,A,P23904
1bkzA,1bkz,A,P47929
1k6zA,1k6z,A,P31491
1km6A,1km6,A,O26232
1b5lA,1b5l,A,P56828
2darA,2dar,A,Q96HC4
1gyhA,1gyh,A,P95470
1k24A,1k24,A,Q51227
1pbjA,1pbj,A,O27659
2g9aA,2g9a,A,P61964
1i0lA,1i0l,A,Q4DRC4
1dilA,1dil,A,P29768
1j4xA,1j4x,A,P51452
2bxjA,2bxj,A,P23370
2f1fA,2f1f,A,P00894
1oh3A,1oh3,A,Q9C171
1odxA,1odx,A,P04585
2iapA,2iap,A,Q7SIG4
1p8aA,1p8a,A,O00810
1m45A,1m45,A,P53141
1i1nA,1i1n,A,P22061
1gqnA,1gqn,A,P24670
1tpb1,1tpb,1,P00940
1v27A,1v27,A,Q9UQ26
1atgA,1atg,A,Q7SIH2
1ljlA,1ljl,A,P0A006
1hwgA,1hwg,A,P01241
1c1fA,1c1f,A,P26788
1tv7A,1tv7,A,P69848
2h50A,2h50,A,Q41560
1bsgA,1bsg,A,P14559
1j2vA,1j2v,A,O58720
1f6lL,1f6l,L,P01597
2ocsA,2ocs,A,Q15599
1g3iG,1g3i,G,P43772
1v04A,1v04,A,P27170
1x43A,1x43,A,Q9JK48
1qghA,1qgh,A,P80725
1xkpB,1xkp,B,P61380
1rkbA,1rkb,A,Q9Y3D8
1zv4X,1zv4,X,Q9UGC6
2d4dA,2d4d,A,P61769
2b38A,2b38,A,P85175
221pA,221p,A,P01112
1eepA,1eep,A,P49058
1e7oA,1e7o,A,P07751
1mfrA,1mfr,A,P07798
1sa8A,1sa8,A,P02693
1ioaA,1ioa,A,Q42460
1ftcA,1ftc,A,P00214
2g6bA,2g6b,A,Q9ULW5
2cj4A,2cj4,A,O49908
1dv7A,1dv7,A,O26232
1us4A,1us4,A,P83817
1dwlA,1dwl,A,P07485
1tvlA,1tvl,A,O34974
1y4yA,1y4y,A,P42013
1gff2,1gff,2,P03644
1f30A,1f30,A,P0ABT2
1b30A,1b30,A,P56588
1x3sA,1x3s,A,Q9NP72
1p22A,1p22,A,Q9Y297
1fkxA,1fkx,A,P03958
1ojxA,1ojx,A,P58315
1ywoA,1ywo,A,P10686
2a1fA,2a1f,A,P43890
2al7A,2al7,A,Q9NVJ2
1nxiA,1nxi,A,Q9KUU1
1t6t1,1t6t,1,O67859
2bvzA,2bvz,A,P23370
1wu6A,1wu6,A,Q9KB30
1g7yA,1g7y,A,P19588
1d2nA,1d2n,A,P18708
1id0A,1id0,A,P23837
1u89A,1u89,A,P26039
2c4iA,2c4i,A,P02701
1a5dA,1a5d,A,P02528
1vrcA,1vrc,A,P69797
1huqA,1huq,A,P35278
1yj5C,1yj5,C,Q9JLV6
1z22A,1z22,A,P35288
1q8oA,1q8o,A,Q8GSD2
1mjcA,1mjc,A,P0A9X9
2fn4A,2fn4,A,P10301
2esrA,2esr,A,
2bmjA,2bmj,A,Q99490
2fhpA,2fhp,A,Q831P8
1n7tA,1n7t,A,Q96RT1
2cjwA,2cjw,A,P55040
1he8B,1he8,B,P01112
1yb2A,1yb2,A,Q9HJW1
2glwA,2glw,A,O73971
2a6bA,2a6b,A,Q8DQK6
1y80A,1y80,A,Q2RJ67
2a37A,2a37,A,Q08012
1al0G,1al0,G,P03643
1v5xA,1v5x,A,P83825
1bwrA,1bwr,A,Q29460
1gwgA,1gwg,A,P02791
2d1xA,2d1x,A,Q14247
1dcfA,1dcf,A,P49333
1wa3A,1wa3,A,Q9WXS1
1y81A,1y81,A,Q8U2V3
1gnnA,1gnn,A,P03366
2bkyA,2bky,A,P60849
2g99A,2g99,A,P61964
1hgxA,1hgx,A,P51900
1i2qA,1i2q,A,P0A870
1g0uL,1g0u,L,P23724
1a23A,1a23,A,P0AEG4
2fbeA,2fbe,A,A6NLU0
1p1bA,1p1b,A,P10868
1qlyA,1qly,A,Q06187
1xcmA,1xcm,A,P01112
1jigA,1jig,A,Q8RPQ1
1frkA,1frk,A,P00214
1gxrA,1gxr,A,Q04724
2gscA,2gsc,A,Q8PD29
1ravA,1rav,A,P02701
1y2tA,1y2t,A,Q00022
1lemA,1lem,A,P02870
1kikA,1kik,A,P06239
1lteA,1lte,A,P16404
1ybvA,1ybv,A,Q12634
1vbrA,1vbr,A,Q9WXS5
1vg0B,1vg0,B,P09527
1hv1A,1hv1,A,P09850
1c25A,1c25,A,P30304
1xe4A,1xe4,A,Q9EY50
1an0A,1an0,A,P60953
2o5hA,2o5h,A,Q9K0R7
1g65G,1g65,G,P21243
2gouA,2gou,A,Q8EEC8
1bocA,1boc,A,P02633
2cyjA,2cyj,A,O59174
1kgfA,1kgf,A,P00807
1xeaA,1xea,A,Q9KKQ4
2dfyX,2dfy,X,P61969
1df6A,1df6,A,P82230
1n6hA,1n6h,A,P20339
1ydhA,1ydh,A,Q84MC2
1o4yA,1o4y,A,G0L322
1t2xA,1t2x,A,P0CS93
1wbfA,1wbf,A,O24313
1k8kC,1k8k,C,Q58CQ2
2imhA,2imh,A,Q5LQD5
1pc5A,1pc5,A,P00214
2heiA,2hei,A,P61020
2i48A,2i48,A,Q55460
2bf6A,2bf6,A,Q59310
1gv9A,1gv9,A,Q62902
1vjxA,1vjx,A,Q9X1L2
1uvhA,1uvh,A,P0C558
1e0wA,1e0w,A,P26514
1fntA,1fnt,A,P21243
2btmA,2btm,A,P00943
1y5eA,1y5e,A,Q816R0
1kjlA,1kjl,A,P17931
1udrA,1udr,A,P0AE67
1zcrA,1zcr,A,P02766
2dleA,2dle,A,Q12913
1hqlA,1hql,A,Q8W1R6
1rz3A,1rz3,A,P84134
1n1qA,1n1q,A,P83695
1f6yA,1f6y,A,Q46389
5csmA,5csm,A,P32178
2chiA,2chi,A,P02794
1amfA,1amf,A,P37329
1ganA,1gan,A,P56217
1ymvA,1ymv,A,P0AE67
1pv8A,1pv8,A,P13716
2hcvA,2hcv,A,Q75WH8
1lf1A,1lf1,A,
2gf0A,2gf0,A,O95057
1d1qA,1d1q,A,P40347
1f6fA,1f6f,A,P16038
1zhvA,1zhv,A,A9CJY8
1y43B,1y43,B,P24665
1hzuA,1hzu,A,P24474
2g16B,2g16,B,P42212
2a5zA,2a5z,A,Q8ED25
1qwdA,1qwd,A,P0A901
1j8kA,1j8k,A,P02751
1pwtA,1pwt,A,P07751
2bgnE,2bgn,E,P56658
1ltkA,1ltk,A,P27362
1oivA,1oiv,A,P62491
1ttrA,1ttr,A,P02766
1h92A,1h92,A,P06239
2o57A,2o57,A,
1a7gE,1a7g,E,P17383
1dpsA,1dps,A,P0ABT2
1zj6A,1zj6,A,Q9Y689
1mr3F,1mr3,F,P19146
1pqwA,1pqw,A,P96202
1f5bA,1f5b,A,P00214
1h0xA,1h0x,A,P60849
1vlsA,1vls,A,P02941
1lrnA,1lrn,A,O66496
1mtbA,1mtb,A,P03369
1bu5A,1bu5,A,P00323
1z69A,1z69,A,Q46FV4
2bkcA,2bkc,A,P80725
1zz0A,1zz0,A,Q70I53
1vjqA,1vjq,A,
1i2rA,1i2r,A,P0A870
1o1xA,1o1x,A,Q9X0G9
1ktnA,1ktn,A,P0A6L0
1twsA,1tws,A,Q81VW8
1g86A,1g86,A,Q05315
1jo8A,1jo8,A,P15891
2bm8A,2bm8,A,B5GLB3
2b8pA,2b8p,A,Q5UQL3
2nvpA,2nvp,A,Q8XNB2
1chdA,1chd,A,P04042
1z08A,1z08,A,Q9UL25
1xmwA,1xmw,A,P22646
1xmwA,1xmw,A,P18438
1cp7A,1cp7,A,P80561
1uheA,1uhe,A,P56065
1sfyA,1sfy,A,P16404
1yyaA,1yya,A,Q5SJR1
1j2oA,1j2o,A,P25801
1j2oA,1j2o,A,P70662
1opdA,1opd,A,P0AA04
1rhgA,1rhg,A,P09919
1jclA,1jcl,A,P0A6L0
2o3bB,2o3b,B,
1qlgA,1qlg,A,O66037
2h6jH,2h6j,H,Q53079
1r8xA,1r8x,A,Q9QXF8
1m8uA,1m8u,A,P23005
1ifqA,1ifq,A,O08547
1h4yA,1h4y,A,O32723
1zrmA,1zrm,A,Q53464
1rxkA,1rxk,A,P22629
1ihjA,1ihj,A,Q24008
2araA,2ara,A,P0A9E0
1utcA,1utc,A,P49951
1bwpA,1bwp,A,Q29460
1a78A,1a78,A,P56217
1wx0A,1wx0,A,Q5SJE8
1is3A,1is3,A,Q9YIC2
1nmbN,1nmb,N,P05803
1twyA,1twy,A,Q9KLD9
2dl4A,2dl4,A,Q99469
1u8wA,1u8w,A,P39207
1cn1A,1cn1,A,P02866
1xgeA,1xge,A,P05020
1r9zA,1r9z,A,P25524
2gncA,2gnc,A,Q91Z69
2aalA,2aal,A,Q9EV83
1v8eA,1v8e,A,Q53W25
1ydgA,1ydg,A,Q9RYU4
1qv0A,1qv0,A,Q27709
1bh2A,1bh2,A,P10824
2iaoA,2iao,A,Q7SIG4
1ofzA,1ofz,A,P18891
2i9kA,2i9k,A,P05102
1pdoA,1pdo,A,P69797
2acyA,2acy,A,P41500
2da9A,2da9,A,Q8R550
1dzqA,1dzq,A,Q9FVF8
1fnyA,1fny,A,Q41159
1jreA,1jre,A,P0ABT2
1bz8A,1bz8,A,P02766
1iruE,1iru,E,Q5E987
1r18A,1r18,A,Q27869
1nnaA,1nna,A,P03472
2h8zA,2h8z,A,Q88NF7
1v62A,1v62,A,Q9C0E4
1aw1A,1aw1,A,P50921
2ivyA,2ivy,A,Q97YC2
1akwA,1akw,A,P00323
1lzkA,1lzk,A,
1o51A,1o51,A,Q9WXM9
1fl9A,1fl9,A,P44492
2fryA,2fry,A,O43639
1qkxA,1qkx,A,P07751
1xo1A,1xo1,A,P06229
1nb1A,1nb1,A,P56254
2bvvA,2bvv,A,P09850
2ak5A,2ak5,A,O55043
1sytA,1syt,A,Q8SPQ0
1lf0A,1lf0,A,P01112
1dbpA,1dbp,A,P02925
1rlwA,1rlw,A,P47712
2iyhA,2iyh,A,
1sraA,1sra,A,P09486
1hjzA,1hjz,A,O28751
2a6yA,2a6y,A,P43555
1o5jA,1o5j,A,Q9X0E6
1rj1A,1rj1,A,O49908
1tevA,1tev,A,P30085
2d13A,2d13,A,O58996
2i7gA,2i7g,A,A9CI16
